State,Total,White,Black,Native,Asian,Pacific,Multirace
Alabama,4779736,3362877,1259224,32903,55240,5208,64284
Alaska,710231,483873,24441,106268,38882,7662,49105
Arizona,6392017,5418483,280905,335278,188456,16112,152783
Arkansas,2915918,2342403,454021,26134,37537,6685,49138
California,37253956,27636403,2486549,622107,5038123,181431,1289343
Colorado,5029196,4450623,214919,78144,144819,8420,132271
Connecticut,3574097,2950820,392131,16734,140516,3491,70405
Delaware,897934,645770,196281,5929,29342,690,19922
District of Columbia,601723,251265,310379,3264,21705,770,14340
Florida,18801310,14808867,3078067,89119,474199,18790,332268
Georgia,9687653,6144931,2993927,48599,323459,10454,166283
Hawaii,1360301,349051,22473,4960,531633,138292,313892
Idaho,1567582,1476097,10950,25782,20034,2786,31933
Illinois,12830632,10030587,1903458,73846,604399,7436,210906
Indiana,6483802,5638833,603797,24487,105535,3532,107618
Iowa,3046355,2839615,91695,13563,54232,2419,44831
Kansas,2853118,2501057,173298,33044,69628,2864,73227
Kentucky,4339367,3864193,342804,12105,50177,3199,66889
Louisiana,4533372,2902875,1462969,33037,71829,2588,60074
Maine,1328361,1269764,16269,8771,13783,377,19397
Maryland,5773552,3541379,1731513,30885,326655,5391,137729
Massachusetts,6547629,5524937,504365,29944,359673,5971,122739
Michigan,9883640,7949497,1416067,68396,243062,3442,203176
Minnesota,5303925,4623461,280949,67325,217792,2958,111440
Mississippi,2967297,1789391,1103101,16837,26477,1700,29791
Missouri,5988927,5038407,700178,30595,100213,7178,112356
Montana,989415,891529,4215,63495,6379,734,23063
Nebraska,1826341,1649264,85971,23418,33322,2061,32305
Nevada,2700551,2106494,231224,42965,203478,19307,97083
New Hampshire,1316470,1248321,16365,3530,28933,532,18789
New Jersey,8791894,6546498,1282005,49907,746212,7731,159541
New Mexico,2059179,1720992,49006,208890,31253,3132,45906
New York,19378102,13901661,3378047,183046,1481555,24000,409793
North Carolina,9535483,6898296,2088362,147566,215952,10309,174998
North Dakota,672591,609136,8248,36948,7032,334,10893
Ohio,11536504,9664524,1426861,29674,196693,5336,213416
Oklahoma,3751351,2851510,284332,335664,67126,5354,207365
Oregon,3831074,3403252,74414,66784,145009,14649,126966
Pennsylvania,12702379,10663774,1431826,39735,358195,7115,201734
Rhode Island,1052567,910253,75073,9173,31768,1602,24698
South Carolina,4625364,3164143,1302865,24665,61247,3957,68487
South Dakota,814180,706690,10533,72782,7775,517,15883
Tennessee,6346105,5056311,1068010,26256,93897,5426,96205
Texas,25145561,20389793,3070440,251209,1000473,31242,402404
Utah,2763885,2547329,33864,40729,57800,26049,58114
Vermont,625741,598592,6456,2308,8069,175,10141
Virginia,8001024,5725432,1579414,41525,449149,8201,197303
Washington,6724540,5535262,252333,122649,491685,43505,279106
West Virginia,1852994,1746513,63885,3975,12637,485,25499
Wisconsin,5686986,5036923,367021,60100,131828,2505,88609
Wyoming,563626,529110,5135,14457,4649,521,9754
